state,total_homeless_persons
Alabama,4689
Alaska,1946
Arizona,10562
Arkansas,3812
California,136826
Colorado,9754
Connecticut,4448
Delaware,946
District of Columbia,6865
Florida,47862
Georgia,16971
Guam,1271
Hawaii,6335
Idaho,1781
Illinois,13425
Indiana,6096
Iowa,3084
Kansas,2693
Kentucky,5245
Louisiana,5226
Maine,3016
Maryland,8205
Massachusetts,19029
Michigan,11527
Minnesota,8214
Mississippi,2403
Missouri,8581
Montana,1878
Nebraska,3145
Nevada,8443
New Hampshire,1447
New Jersey,12002
New Mexico,2819
New York,77430
North Carolina,12168
North Dakota,2069
Ohio,12325
Oklahoma,4408
Oregon,13822
Pennsylvania,15086
Puerto Rico,4128
Rhode Island,1384
South Carolina,6544
South Dakota,1094
Tennessee,9528
Texas,29615
US Virgin Islands,482
Utah,3277
Vermont,1454
Virginia,7625
Washington,17760
West Virginia,2240
Wisconsin,6104
Wyoming,953
