state,total_homeless_persons,homeless_rate,chronic_pct,youth_pct,veterans_pct,unsheltered_pct
Alabama,4689,9.7,18.3,8.4,10.9,30.8
Alaska,1946,26.47,9.5,8.6,10.8,10.5
Arizona,10562,15.94,11.2,6.4,11.6,29.6
Arkansas,3812,12.88,15.8,7.6,12.1,56.3
California,136826,35.69,28.7,11.3,11.1,66.7
Colorado,9754,18.51,18.2,5.2,7.0,22.2
Connecticut,4448,12.37,23.5,5.3,7.7,20.7
Delaware,946,10.22,7.5,3.7,9.4,1.1
Florida,47862,24.48,20.2,7.2,11.5,58.9
Georgia,16971,16.98,18.2,6.6,10.6,49.9
Hawaii,6335,45.12,18.6,3.3,8.8,40.9
Idaho,1781,11.05,15.2,7.7,11.7,21.2
Illinois,13425,10.42,11.7,7.9,9.4,16.4
Indiana,6096,9.28,9.5,5.2,12.2,11.5
Iowa,3084,9.98,10.6,6.3,7.4,4.3
Kansas,2693,9.31,13.2,3.8,15.4,11.5
Kentucky,5245,11.93,10.3,7.3,11.6,14.4
Louisiana,5226,11.3,21.3,9.3,11.0,30.1
Maine,3016,22.71,5.8,10.2,5.4,2.1
Maryland,8205,13.84,18.0,4.7,8.2,23.4
Massachusetts,19029,28.43,11.1,2.7,6.6,4.5
Michigan,11527,11.65,9.6,9.4,9.5,19.0
Minnesota,8214,15.15,16.4,8.9,4.2,11.1
Mississippi,2403,8.03,19.8,13.9,8.7,54.9
Missouri,8581,14.2,12.1,7.4,9.8,24.2
Montana,1878,18.5,12.1,8.8,16.5,41.7
Nebraska,3145,16.83,13.2,9.0,5.8,5.5
Nevada,8443,30.26,10.5,22.8,11.3,56.2
New Hampshire,1447,10.93,17.6,8.0,8.6,14.0
New Jersey,12002,13.49,10.3,5.8,4.5,11.7
New Mexico,2819,13.52,18.6,14.3,8.6,15.2
New York,77430,39.4,8.2,4.7,6.0,5.4
North Carolina,12168,12.36,15.1,7.2,9.2,25.9
North Dakota,2069,28.6,8.7,10.0,11.6,67.4
Ohio,12325,10.65,14.2,7.4,9.8,10.9
Oklahoma,4408,11.45,16.3,10.9,9.9,26.0
Oregon,13822,35.17,22.0,8.7,10.8,53.5
Pennsylvania,15086,11.81,11.1,5.6,9.7,9.0
Rhode Island,1384,13.16,18.1,5.3,7.0,8.5
South Carolina,6544,13.71,7.4,4.9,9.7,47.9
South Dakota,1094,12.95,19.8,5.8,11.4,31.0
Tennessee,9528,14.67,23.3,6.3,10.4,33.7
Texas,29615,11.2,18.7,7.0,13.1,40.8
Utah,3277,11.3,13.9,4.3,10.0,12.8
Vermont,1454,23.2,14.9,5.9,8.8,12.7
Virginia,7625,9.23,17.8,4.1,9.4,13.4
Washington,17760,25.48,12.4,6.4,7.4,28.5
West Virginia,2240,12.08,19.3,11.3,14.7,28.0
Wisconsin,6104,10.63,8.5,6.3,9.0,6.0
Wyoming,953,16.36,25.6,11.2,14.4,47.4
